id,si,gu,dong,bunji,mainBun,subBun,apartmentName,size,floor,yearBuilt,address
155,서울특별시,동대문구,답십리동,990,990,0,두산,59.96,5,2000,답십리로56길
156,서울특별시,동대문구,답십리동,990,990,0,두산,84.83,20,2000,답십리로56길
157,서울특별시,동대문구,답십리동,990,990,0,두산,59.96,1,2000,답십리로56길
158,서울특별시,동대문구,답십리동,990,990,0,두산,114.97,1,2000,답십리로56길
159,서울특별시,동대문구,답십리동,990,990,0,두산,84.83,23,2000,답십리로56길
160,서울특별시,동대문구,답십리동,990,990,0,두산,84.83,13,2000,답십리로56길
161,서울특별시,동대문구,답십리동,990,990,0,두산,59.96,10,2000,답십리로56길
162,서울특별시,동대문구,답십리동,998,998,0,두산위브,59.91,9,2007,황물로15길
163,서울특별시,동대문구,답십리동,998,998,0,두산위브,84.91,6,2007,황물로15길
164,서울특별시,동대문구,답십리동,998,998,0,두산위브,84.91,14,2007,황물로15길
165,서울특별시,동대문구,답십리동,998,998,0,두산위브,84.91,12,2007,황물로15길
166,서울특별시,동대문구,답십리동,998,998,0,두산위브,84.91,12,2007,황물로15길
167,서울특별시,동대문구,답십리동,998,998,0,두산위브,114.96,9,2007,황물로15길
168,서울특별시,동대문구,답십리동,998,998,0,두산위브,59.91,6,2007,황물로15길
169,서울특별시,동대문구,답십리동,998,998,0,두산위브,84.91,3,2007,황물로15길
170,서울특별시,동대문구,답십리동,998,998,0,두산위브,59.91,4,2007,황물로15길
171,서울특별시,동대문구,답십리동,998,998,0,두산위브,114.96,2,2007,황물로15길
172,서울특별시,동대문구,답십리동,998,998,0,두산위브,59.91,8,2007,황물로15길
173,서울특별시,동대문구,답십리동,998,998,0,두산위브,84.91,20,2007,황물로15길
174,서울특별시,동대문구,답십리동,998,998,0,두산위브,59.91,11,2007,황물로15길
175,서울특별시,동대문구,답십리동,998,998,0,두산위브,59.91,12,2007,황물로15길
176,서울특별시,동대문구,답십리동,998,998,0,두산위브,59.91,7,2007,황물로15길
177,서울특별시,동대문구,답십리동,998,998,0,두산위브,59.91,6,2007,황물로15길
178,서울특별시,동대문구,답십리동,998,998,0,두산위브,59.91,13,2007,황물로15길
179,서울특별시,동대문구,답십리동,998,998,0,두산위브,84.91,7,2007,황물로15길
180,서울특별시,동대문구,답십리동,98,98,0,래미안미드카운티,59.98,15,2018,답십리로
181,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,114.82,6,2011,한천로37길
182,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,84.83,11,2011,한천로37길
183,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,59.95,11,2011,한천로37길
184,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,84.94,6,2011,한천로37길
185,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,59.95,7,2011,한천로37길
186,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,59.95,8,2011,한천로37길
187,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,84.9,12,2011,한천로37길
188,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,114.82,13,2011,한천로37길
189,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,59.95,7,2011,한천로37길
190,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,84.83,17,2011,한천로37길
191,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,59.95,16,2011,한천로37길
192,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,114.82,20,2011,한천로37길
193,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,84.94,6,2011,한천로37길
194,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,59.95,2,2011,한천로37길
195,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,59.95,18,2011,한천로37길
196,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,114.82,10,2011,한천로37길
197,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,59.95,6,2011,한천로37길
198,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,114.82,8,2011,한천로37길
199,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,59.95,10,2011,한천로37길
200,서울특별시,동대문구,답십리동,1000,1000,0,래미안엘파인아파트,84.9,11,2011,한천로37길
201,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.97,17,2014,답십리로
202,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,121.94,14,2014,답십리로
203,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.97,1,2014,답십리로
204,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.99,14,2014,답십리로
205,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.98,8,2014,답십리로
206,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,121.64,20,2014,답십리로
207,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.98,7,2014,답십리로
208,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.98,5,2014,답십리로
209,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.98,1,2014,답십리로
210,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.99,8,2014,답십리로
211,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,121.94,5,2014,답십리로
212,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.99,1,2014,답십리로
213,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.96,3,2014,답십리로
214,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.98,3,2014,답십리로
215,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,140.62,1,2014,답십리로
216,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.99,2,2014,답십리로
217,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,121.94,10,2014,답십리로
218,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.99,17,2014,답십리로
219,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.97,11,2014,답십리로
220,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.99,16,2014,답십리로
221,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.99,11,2014,답십리로
222,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.99,5,2014,답십리로
223,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.99,8,2014,답십리로
224,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,121.64,5,2014,답십리로
225,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.99,5,2014,답십리로
226,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.99,9,2014,답십리로
227,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.98,9,2014,답십리로
228,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.96,7,2014,답십리로
229,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.99,15,2014,답십리로
230,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,59.96,2,2014,답십리로
231,서울특별시,동대문구,답십리동,1003,1003,0,래미안위브,84.98,1,2014,답십리로
